Platform;Played;Name;OpenCritic;Genre;Multiplayer;Source
PS4;X;Tomb Raider: Definitive Edition;85;Adventure;Online;EXTRA
PS4; ;Ys VIII: Lacrimose of DANA;85;RPG;Online;EXTRA
PS4; ;Assassin's Creed Odyssey;84;Adventure;Online;EXTRA
PS4; ;Avicii Invector;84;Music;Local;EXTRA
PS4/PS5; ;Destiny 2: The Witch King;84;Shooter;Online;EXTRA
PS4; ;Yakuza Kiwami;82;Action;Local;ESSENTIAL
PS4; ;Descenders;74;Sports;Online;ESSENTIAL
PS4;X;Kingdom Hearts HD 1.5 + 2.5 ReMIX;84;RPG;Online;EXTRA
PS4; ;Kingdom Hearts III;84;RPG;Online;EXTRA
PS4;i;Midnight Deluxe;60;Platformer;Online;BOUGHT
PS4; ;Lonely Mountains: Downhill;84;Sports;Online;EXTRA
PS4; ;Soulcalibur VI;84;Fighting;Both;EXTRA
PS4;X;Tearaway Unfolded;84;Puzzle;Online;ESSENTIAL/EXTRA
PS4/PS5;X;The Forgotten City;84;Adventure;Online;EXTRA
PS4; ;Tom Clancy's The Division 2;84;Shooter;Online;EXTRA
PS4; ;Tom Clancy�s The Division;84;Shooter;Online;EXTRA
PS4; ;Two Point Hospital: Jumbo Edition;84;Simulation;Online;EXTRA
PS4; ;Bloodstained: Ritual of the Night;83;RPG;Online;EXTRA
PS4/VR; ;Chess Ultra;83;Simulation;Both;EXTRA
PS4; ;Child of Light;83;RPG;Online;EXTRA
PS4;X;Children of Morta;83;RPG;Local;EXTRA
PS4;X;Cities: Skylines;83;Simulation;Online;ESSENTIAL/EXTRA
PS4;X;Dragon Quest Builders;83;RPG;Online;EXTRA
PS4; ;Everspace;83;Action;Online;EXTRA
PS4; ;Final Fantasy IX;83;RPG;Online;EXTRA
PS4; ;Final Fantasy X/X-2 HD Remaster;83;RPG;Online;EXTRA
PS4/PS5;X;Judgement;83;Adventure;Online;EXTRA
PS4/PS5; ;Lost Judgement;83;Action;Online;EXTRA
PS4/PS5; ;Mortal Kombat 11;83;Fighting;Both;EXTRA
PS4;i;NieR Replicant v.1.22474487139...;83;RPG;Online;EXTRA
PS4;X;Overcooked! 2;83;Arcade;Both;EXTRA
PS4/PS5; ;PGA Tour 2K23;77;Sports;Both;ESSENTIAL
PS4; ;Towerfall Ascension;83;Action;Local;EXTRA
PS4/PS5;X;Unpacking;83;Puzzle;Online;EXTRA
PS4; ;Age of Wonders: Planetfall;82;Strategy;Online;EXTRA
PS4; ;Chicken Police;82;Puzzle;Online;EXTRA
PS4/PS5;X;Death Stranding: Director�s Cut;82;Adventure;Online;BOUGHT/EXTRA
PS4; ;Disgaea 5: Alliance of Vengeance;82;RPG;Online;EXTRA
PS4; ;Dishonored: Death of the Outsider;82;Action;Online;EXTRA
PS4;X;Final Fantasy VII;82;RPG;Online;EXTRA
PS4;X;Final Fantasy XV Royal Edition;82;RPG;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Marvel�s Guardians Of The Galaxy;82;Action;Online;EXTRA
PS4; ;Neo: The World Ends With You;82;Action;Online;EXTRA
PS4/PS5; ;Paradise Killer;82;Adventure;Online;EXTRA
PS4; ;Rune Factory 4 Special;82;RPG;Online;EXTRA
PS4;X;South Park: The Fractured But Whole;82;RPG;Online;EXTRA
PS4; ;Tekken 7;82;Fighting;Both;EXTRA
PS4;X;The Last Guardian;82;Adventure;Online;COLLECTION/EXTRA
PS4; ;Warhammer Vermintide 2;82;Shooter;Online;EXTRA
PS4;X;Abzu;81;Adventure;Online;ESSENTIAL/EXTRA
PS4; ;Ace Combat 7: Skies Unknown;81;Simulation;Online;EXTRA
PS4; ;Ashen;81;RPG;Online;EXTRA
PS4; ;Final Fantasy VIII Remastered;81;RPG;Online;EXTRA
PS4/PS5;X;Ghostrunner;81;Platformer;Online;ESSENTIAL/EXTRA
PS4; ;Gravity Rush 2;81;Action;Online;EXTRA
PS4/PS5; ;I Am Dead;81;Puzzle;Online;EXTRA
PS4;X;Infamous Second Son;81;Action;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Kena: Bridge of Spirits;81;Adventure;Online;EXTRA
PS4/PS5; ;Life is Strange: True Colors;81;Interactive Story;Online;EXTRA
PS4; ;Moonlighter;81;RPG;Online;EXTRA
